epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.099,1.21506,2.18509,0.98071,0.99605,0.12624,0.26499,0.1592,1.1804,2.5572,0.95179,0.000328638,0.000328638,0.000328638
2,379.646,1.07783,1.011,0.92418,0.65879,0.35242,0.41497,0.22811,1.0366,1.49347,0.96371,0.000655418,0.000655418,0.000655418
3,546.114,1.05355,0.89597,0.91835,0.73433,0.41132,0.54312,0.27234,1.03698,0.9911,0.93566,0.000975598,0.000975598,0.000975598
4,676.157,1.0116,0.78995,0.90323,0.8518,0.61742,0.66271,0.35234,0.9543,0.77086,0.92326,0.0009703,0.0009703,0.0009703
5,802.601,0.97866,0.74516,0.89686,0.59641,0.53495,0.6365,0.34513,0.91794,0.7488,0.91193,0.0009604,0.0009604,0.0009604
6,931.372,0.9218,0.68723,0.88572,0.6319,0.66512,0.67871,0.39126,0.91884,0.71239,0.91439,0.0009505,0.0009505,0.0009505
7,1059.63,0.9512,0.6594,0.89244,0.68718,0.64553,0.63745,0.33796,0.94518,0.68523,0.91018,0.0009406,0.0009406,0.0009406
8,1186,0.96514,0.64871,0.88659,0.74141,0.69798,0.71792,0.39386,0.88961,0.63284,0.88823,0.0009307,0.0009307,0.0009307
9,1312.96,0.92245,0.61484,0.88428,0.69869,0.70871,0.70355,0.40409,0.84297,0.57783,0.88061,0.0009208,0.0009208,0.0009208
10,1444.71,0.90909,0.60474,0.87995,0.71995,0.68154,0.705,0.3924,0.89461,0.62076,0.90155,0.0009109,0.0009109,0.0009109
11,1571.67,0.90096,0.57846,0.87869,0.73361,0.72268,0.74357,0.42746,0.86001,0.57144,0.88207,0.000901,0.000901,0.000901
12,1696.41,0.92707,0.57137,0.88357,0.72607,0.70598,0.72086,0.43977,0.82397,0.53531,0.87655,0.0008911,0.0008911,0.0008911
13,1819.87,0.8821,0.54107,0.87182,0.73693,0.73155,0.72708,0.4212,0.8406,0.50946,0.88284,0.0008812,0.0008812,0.0008812
14,1942.87,0.88135,0.53264,0.87481,0.67895,0.70012,0.71806,0.3896,0.85579,0.54499,0.88675,0.0008713,0.0008713,0.0008713
15,2068.65,0.86913,0.53369,0.87198,0.70237,0.7147,0.71065,0.38961,0.87511,0.52137,0.88731,0.0008614,0.0008614,0.0008614
16,2190.95,0.86999,0.54336,0.87489,0.71969,0.72509,0.74402,0.42179,0.86868,0.51217,0.88367,0.0008515,0.0008515,0.0008515
17,2314.4,0.88091,0.53663,0.87105,0.74136,0.74927,0.75998,0.45584,0.82449,0.50403,0.876,0.0008416,0.0008416,0.0008416
18,2440.36,0.87602,0.52855,0.87086,0.73855,0.75006,0.76119,0.46485,0.81202,0.48293,0.87571,0.0008317,0.0008317,0.0008317
19,2565.83,0.84568,0.49613,0.86631,0.7484,0.72684,0.72864,0.41273,0.85069,0.48911,0.88899,0.0008218,0.0008218,0.0008218
